GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,DEPTH
2923NWW009,,,Borehole,40.5,10.1,Bedrock Met,,294460,245400,to 50m,CULLENDRAGH,,Meath,50,Domestic use only,,,,,,,,,,,,,,"good supply, irony, black at first now cleared",,,1to50m
2923NWW010,,MEATH CO.CO PUMP,Dug well,12.2,,Bedrock Not Met,,294490,245460,to 50m,CULLENDRAGH,,Meath,50,,,,,,,,,,,,,,,"supply poor, iron, lime",,,1to50m
2923NWW011,,,Dug well,4.3,,DTB Unknown,,294890,244940,to 50m,BLACKHALL BIG,,Meath,50,Domestic use only,,,,,,,,,,,,,,"supply good, limey",,,1to50m
2923NWW012,,MEATH CO.CO PUMP,Borehole,21.6,14.6,Bedrock Met,25/07/1958,295430,244790,to 50m,BLACKHALL BIG,,Meath,50,Public supply (Co Co),Moderate,,55.0,,,,,,,,,,,lined  15.7m,,,1to50m
2923NWW013,,BALLYMAGLASSAN HOUSE,Borehole,58.5,36.9,Bedrock Met,,296070,245640,to 50m,BALLYMAGLASSAN,,Meath,50,Domestic use only,Moderate,,87.2,,,,,,,,,,,"limey, well covered in.",,,1to50m
2923NWW014,,,Dug well,,,,,295670,244860,to 50m,BLACKHALL BIG,,Meath,50,Agri & domestic use,,,,,,,,,,,,,,"good supply, limey",,,1to50m
2923NWW015,,,Dug well,6.7,,Bedrock Not Met,,295490,244690,to 50m,BLACKHALL BIG,,Meath,50,Other,,,,,,,,,,,,,,well dug july'75,,,1to50m
2923NWW016,,,Borehole,,,,,295460,244400,to 50m,BLACKHALL BIG,,Meath,50,Domestic use only,,,,,,,,,,,,,,supply good,,,1to50m
2923NWW017,,,Borehole,33.5,9.1,Bedrock Met,,295860,244350,to 50m,BLACKHALL BIG,,Meath,50,Domestic use only,,,,,,,,,,,,,,"well was dug to 9.1m then bored, limey",,,1to50m
2923NWW018,,,Dug well,4.9,,Bedrock Met,,293010,244140,to 50m,COLLISTOWN,,Meath,50,Other,,,,,,,,,,,,,,"supply good, limey",,,1to50m
2923NWW019,,MEATH CO.CO.PUMP,Dug well,6.1,,Bedrock Not Met,,293040,243990,to 50m,COLLISTOWN,,Meath,50,Public supply (Co Co),,,,,,,,,,,,,,limey,,,1to50m
2923NWW020,,,Dug well,6.1,,Bedrock Not Met,,293070,243940,to 50m,KILCLONE,,Meath,50,Other,,,,,,,,,,,,,,"well goes low in summer, limey",,,1to50m
2923NWW021,,,Borehole,18.3,9.8,Bedrock Met,,293530,243660,to 50m,KILCLONE,,Meath,50,Other,,,,,,,,,,,,,,"good supply, limey, well dug to 9.8 m then bored to 18.3m",,,1to50m
2923NWW022,,,Dug well,8.8,,Bedrock Not Met,,293510,243620,to 50m,KILCLONE,,Meath,50,Domestic use only,,,,,,,,,,,,,,"supply poor, limey",,,1to50m
2923NWW023,,,Borehole,15.2,9.1,Bedrock Met,,293550,243580,to 50m,KILCLONE,,Meath,50,Domestic use only,,,,,,,,,,,,,,"well dug to 9.1m then bored to 15.2m, good supply",,,1to50m
2923NWW024,,,Dug well,7.0,,Bedrock Not Met,,293540,243360,to 50m,KILCLONE,,Meath,50,Other,,,,,,,,,,,,,,supply ok.,,,1to50m
2923NWW025,,,Dug well,6.7,6.1,Bedrock Met,,293610,243380,to 50m,KILCLONE,,Meath,50,Other,,,,,,,,,,,,,,well goes low in summer,,,1to50m
2923NWW026,,,Borehole,33.5,4.3,Bedrock Met,,293600,243360,to 50m,KILCLONE,,Meath,50,Domestic use only,,,,,,,,,,,,,,supply good,,,1to50m
2923NWW027,,,Dug well,10.7,,DTB Unknown,,293430,243190,to 50m,PAGESTOWN,,Meath,50,Other,,,,,,,,,,,,,,"supply poor(in rock), limey, iron",,,1to50m
2923NWW028,,,Borehole,17.7,6.1,Bedrock Met,,293400,243170,to 50m,PAGESTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"limey, supply good, well dug to 6.1m then bored to 17.7m",,,1to50m
2923NWW029,,,Dug well,3.7,,Bedrock Not Met,,293740,243300,to 50m,KILCLONE,,Meath,50,Public supply (Co Co),,,,,,,,,,,,,,"supply ok, hand pump, irony",,,1to50m
2923NWW030,,,Dug well,4.6,4.6,Bedrock Presumed,,294660,243370,to 50m,BLACKHALL LITTLE,,Meath,50,,,,,,,,,,,,,,,rock at bottom?,,,1to50m
2923NWW031,,,Dug well,7.6,,Bedrock Not Met,,294770,243380,to 50m,BLACKHALL LITTLE,,Meath,50,,,,,,,,,,,,,,,"supply poor, well goes dry in summer, limey",,,1to50m
2923NWW032,,,Dug well,15.2,,DTB Unknown,,295270,243580,to 50m,BLACKHALL LITTLE,,Meath,50,Other,,,,,,,,,,,,,,"supply ok, limey",,,1to50m
2923NWW033,,,Dug well,5.5,,Bedrock Not Met,,294670,243270,to 50m,BLACKHALL LITTLE,,Meath,50,Other,,,,,,,,,,,,,,"supply ok, irony",,,1to50m
2923NWW034,,MEATH CO.CO PUMP,Dug well,4.3,,Bedrock Not Met,27/10/1962,294670,243060,to 50m,BROWNSTOWN,,Meath,50,Public supply (Co Co),,,,,,,,,,,,,,,,,1to50m
2923NWW035,,,Dug well,4.3,,Bedrock Not Met,,294160,242730,to 50m,KILCLONE,,Meath,50,Other,,,,,,,,,,,,,,"dug in sand, irony and limey, good supply",,,1to50m
2923NWW036,,,Borehole,10.7,,DTB Unknown,,294380,242540,to 50m,HARRISTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"limey and irony, good supply",,,1to50m
2923NWW037,,CO.CO.PUMP,Borehole,11.6,,DTB Unknown,,294420,242570,to 50m,KILCLONE,,Meath,50,Public supply (Co Co),Poor,,6.5,,,,,,,,,,,"328ppm CaCo3, 14ppm Fe",,,1to50m
2923NWW038,,KILCLONE SCHOOL,Borehole,22.6,15.2,Bedrock Met,,294460,242550,to 50m,KILCLONE,,Meath,50,Domestic use only,Moderate,,43.6,,,,,,,,,,,,,,1to50m
2923NWW039,,,Borehole,18.3,,DTB Unknown,,294630,242440,to 50m,HARRISTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,irony,,,1to50m
2923NWW040,,,Dug well,8.5,,DTB Unknown,,294660,242390,to 50m,HARRISTOWN,,Meath,50,Other,,,,,,,,,,,,,,very irony,,,1to50m
2923NWW041,,,Dug well,12.2,9.1,Bedrock Met,,294690,242480,to 50m,BROWNSTOWN,,Meath,50,Domestic use only,,,,,,,,,,,,,,"good supply, limey",,,1to50m
2923NWW042,,,Borehole,21.3,15.0,Bedrock Met,,294770,242340,to 50m,KILGRAIGUE,,Meath,50,,,,,,,,,,,,,,,"supply poor, dug to 15m then bored to 21.3m",,,1to50m
2923NWW043,,,Borehole,13.1,,DTB Unknown,,294900,242350,to 50m,BROWNSTOWN,,Meath,50,,,,,,,,,,,,,,,supply ok,,,1to50m
